ISBN,Title,Author,Year,Publisher,Blurb, ** grab this file from https://www.kaggle.com/datasets/jdobrow/57000-books-with-metadata-and-blurbs/ **
0060973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,"Here, for the first time in paperback, is an outstanding military history that offers a dramatic new perspective on the Allied campaign that began with the invasion of the D-Day beaches of Normandy. Nationa advertising in Military History."
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,"The fascinating, true story of the world's deadliest disease. ,In 1918, the Great Flu Epidemic felled the young and healthy virtually overnight. An estimated forty million people died as the epidemic raged. Children were left orphaned and families were devastated. As many American soldiers were killed by the 1918 flu as were killed in battle during World War I. And no area of the globe was safe. Eskimos living in remote outposts in the frozen tundra were sickened and killed by the flu in such numbers that entire villages were wiped out. ,Scientists have recently rediscovered shards of the flu virus frozen in Alaska and preserved in scraps of tissue in a government warehouse. Gina Kolata, an acclaimed reporter for ""The New York Times,"" unravels the mystery of this lethal virus with the high drama of a great adventure story. Delving into the history of the flu and previous epidemics, detailing the science and the latest understanding of this mortal disease, Kolata addresses the prospects for a great epidemic recurring, and, most important, what can be done to prevent it."
0399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,"Winnie and Helen have kept each others worst secrets for more than fifty years. Now, because she believes she is dying, Helen wants to expose everything. And Winnie angrily determines that she must be the one to tell her daughter, Pearl, about the past—including the terrible truth even Helen does not know. And so begins Winnie's story of her life on a small island outside Shanghai in the 1920s, and other places in China during World War II, and traces the happy and desperate events that led to Winnie's coming to America in 1949."
0425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,"Historians and inquisitive laymen alike love to ponder the dramatic what-its of history. In these twenty never-before-published essays, some of the keenest minds of our time ask the big, tantalizing questions:, Where might we be if history had not unfolded the way it did? , Why, how, and when was our fortune made real? ,The answers are surprising, sometimes frightening, and always entertaining.."
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,River City Pub,"This highly praised first novel by fiction writer Julia Oliver is the story of one young woman's struggle with fidelity and identity in depression-era rural Alabama. A beautifully narrated novel of time and place, Goodbye to the Buttermilk Sky re-creates a southern summer when the depression and the boll weevil turned hopes to dust. With the extraordinary talent to make the reader see the Ball canning jars on the kitchen table, hear the clicks on the party line, and feel the bittersweet moments of 20-year-old Callie Tatum's first experiences with adult desire, Oliver portrays a young wife’s increasingly dangerous infidelity with cinematic precision and palpable suspense. Soon, with only her housekeeper as a confidant, Callie breaks society’s rules about race and class as well as her marriage vows. The result is a chain of events that will lead to tragedy and a woman’s stunning decision about love, passion, and the future of her life.Originally published in cloth in 1994, Goodbye to the Buttermilk Sky received considerable attention nationally and became a featured selection of the Quality Paperback Book Club. Its inclusion in the Deep South Books series from The University of Alabama Press will extend the book’s reach and its life, while offering new readers access to the enthralling story.The richly drawn, fully developed characters of Buttermilk Sky live on in the reader’s mind long after the book has been finished. Against the emotional and physical isolation of rural Alabama in 1938, the threads of family ties, whispered gossip, old secrets, and unfulfilled dreams weave a powerful, evocative story that captivates its reader until the very last word."
0440234743,The Testament,John Grisham,1999,Dell,"In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives.,Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.,Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman - pursued by enemies and friends alike - holds a stunning surprise of her own."
0452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,Plume,"In the troubled years following the Civil War, the spirit of a murdered child haunts the Ohio home of a former slave. This angry, destructive ghost breaks mirrors, leaves its fingerprints in cake icing, and generally makes life difficult for Sethe and her family; nevertheless, the woman finds the haunting oddly comforting for the spirit is that of her own dead baby, never named, thought of only as Beloved. A dead child, a runaway slave, a terrible secret--these are the central concerns of Toni Morrison's Pulitzer Prize-winning Beloved. Morrison, a Nobel laureate, has written many fine novels, including Song of Solomon, The Bluest Eye, and Paradise--but Beloved is arguably her best. To modern readers, antebellum slavery is a subject so familiar that it is almost impossible to render its horrors in a way that seems neither clichéd nor melodramatic. Rapes, beatings, murders, and mutilations are recounted here, but they belong to characters so precisely drawn that the tragedy remains individual, terrifying to us because it is terrifying to the sufferer. And Morrison is master of the telling detail: in the bit, for example, a punishing piece of headgear used to discipline recalcitrant slaves, she manages to encapsulate all of slavery's many cruelties into one apt symbol--a device that deprives its wearer of speech. ""Days after it was taken out, goose fat was rubbed on the corners of the mouth but nothing to soothe the tongue or take the wildness out of the eye."" Most importantly, the language here, while often lyrical, is never overheated. Even as she recalls the cruelties visited upon her while a slave, Sethe is evocative without being overemotional: ""Add my husband to it, watching, above me in the loft--hiding close by--the one place he thought no one would look for him, looking down on what I couldn't look at at all. And not stopping them--looking and letting it happen.... And if he was that broken then, then he is also and certainly dead now."" Even the supernatural is treated as an ordinary fact of life: ""Not a house in the country ain't packed to its rafters with some dead Negro's grief. We lucky this ghost is a baby,"" comments Sethe's mother-in-law. Beloved is a dense, complex novel that yields up its secrets one by one. As Morrison takes us deeper into Sethe's history and her memories, the horrifying circumstances of her baby's death start to make terrible sense. And as past meets present in the shape of a mysterious young woman about the same age as Sethe's daughter would have been, the narrative builds inexorably to its powerful, painful conclusion. Beloved may well be the defining novel of slavery in America, the one that all others will be measured by. --Alix Wilber"
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press," has quickly become the world's most popular humor publication, misinforming half a million readers a week with one-of-a-kind social satire both in print (on newsstands nationwide) and online from its remote office in Madison, Wisconsin.,Witness the march of history as Editor-in-Chief Scott Dikkers and , award-winning writing staff present the twentieth century like you've never seen it before."
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,Ryland Peters &amp; Small Ltd,"Filled with fresh and eclectic recipes by Celia Brooks Brown -- one of the talented team of chefs at Books for Cooks, the world-famous bookshop-restaurant in London's Notting Hill -- New Vegetarian presents an innovative approach to vegetarian cooking. No longer the exclusive domain of vegetarians, meat-free food is now appreciated by all for its bright and assertive flavors, its marvelous colors, and its easy-to-make convenience. Celia gives sensible advice on choosing and preparing the major vegetarian ingredients, then presents 50 original and stylish recipes -- ranging from quick breakfasts to party foods, from salads to sweet treats -- all photographed by Philip Webb. Whether it is burritos bursting with flavor or Thai Glazed Vegetable Skewers fresh from the barbecue, Celia's enthusiasm and imagination will tempt even the most confirmed carnivore."
0439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,Scholastic,"Robynn Clairday interviewed kids throughout America to collect these real tales of awkward situations. From hilarious to poignant to painful, these stories are accompanied by advice about dealing with embarrassment and finding grace under pressure."
